Altium Designer Pick and Place Locations
C:\Users\Acer\OneDrive\Documents\altium\project\ngoc_maysay1\Project Outputs for ngoc_maysay\Pick Place for Ngoc_say2.csv

========================================================================================================================
File Design Information:

Date:       19/10/24
Time:       21:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P3","Header 2","TopLayer","HDR/Terminal/2","6.3500","12.9540","270","Header, 2-Pin"
"C6","100uF","TopLayer","tu_tantalum_smd3528","38.7350","37.4650","270","Dán"
"SW1","Nut Nhan 4 Chan","BottomLayer","SW4","45.5235","35.0734","90","C?m"
"U3","LM2576HVS 5.0V SMD","TopLayer","TO263-5","28.2058","46.8630","270","Dán"
"U2","OPTO PC817 SMD","TopLayer","SOP4","31.4960","23.4950","180","Single Opto"
"S3","MH001036","TopLayer","SW-SMD","77.1450","25.4000","180","Dán"
"S1","MH001036","TopLayer","SW-SMD","46.0000","43.0000","180","Dán"
"RL1","MH","TopLayer","RELAY5PIN-10A","19.9390","10.4300","180","C?m"
"R12","1K","TopLayer","RES_0805","72.1359","8.1279","180","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R9","1K","TopLayer","RES_0805","82.4231","19.0499","270","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R8","1K","TopLayer","RES_0805","58.5471","5.4611","0","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R7","10K","TopLayer","RES_0805","24.6379","26.6701","90","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R6","10K","TopLayer","RES_0805","76.0579","10.8741","90","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R5","10K","TopLayer","RES_0805","46.8631","48.3401","360","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R2","10K","TopLayer","RES_0805","77.3431","20.5741","360","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
